day,hour,origen_barrio,origen_cap,cantidad,longitude,latitude
1,4,LA MATANZA,0,882,-58.62538227,-34.77012002
1,4,LANUS,0,364,-58.39547449,-34.70576064
1,4,LINIERS,1,122,-58.51912811,-34.64379602
1,4,LOMAS DE ZAMORA,0,204,-58.42404113,-34.7555056
1,4,MALVINAS ARGENTINAS,0,43,-58.712133,-34.48730383
1,4,MATADEROS,1,78,-58.50173703,-34.65837345
1,4,MERLO,0,159,-58.74187776,-34.71088678
1,4,MONSERRAT,1,178,-58.37964847,-34.61268563
1,4,MONTE CASTRO,1,24,-58.50658095,-34.61929776
1,4,MORENO,0,133,-58.81092327,-34.61061712
1,4,MORON,0,179,-58.61984335,-34.64914107
1,4,NUEVA POMPEYA,1,109,-58.41885257,-34.65054408
1,4,NUNEZ,1,41,-58.46285879,-34.54373767
1,4,PALERMO,1,924,-58.42243478,-34.57390245
1,4,PARQUE AVELLANEDA,1,40,-58.47645528,-34.64864159
1,4,PARQUE CHACABUCO,1,24,-58.43769584,-34.63593994
1,4,PARQUE CHAS,1,1,-58.47912136,-34.58552269
1,4,PARQUE PATRICIOS,1,36,-58.40167518,-34.63755033
1,4,PATERNAL,1,15,-58.46866484,-34.59742118
1,4,PILAR,0,47,-58.90344139,-34.44819902
1,4,PRESIDENTE PERON,0,7,-58.39809124,-34.9298313
1,4,PUERTO MADERO,1,11,-58.35571275,-34.60905372
1,4,QUILMES,0,324,-58.27674869,-34.73506242
1,4,RECOLETA,1,195,-58.39521874,-34.58623775
1,4,RETIRO,1,167,-58.37592173,-34.58841231
1,4,SAAVEDRA,1,71,-58.4887446,-34.55307606
1,4,SAN CRISTOBAL,1,42,-58.40188403,-34.6238645
1,4,SAN FERNANDO,0,68,-58.56629736,-34.45545665
1,4,SAN FERNANDO,0,68,-58.55408337,-34.14166569
1,4,SAN ISIDRO,0,169,-58.53753207,-34.48729629
1,4,SAN MIGUEL,0,324,-58.69170552,-34.55209197
1,4,SAN NICOLAS,1,174,-58.38051517,-34.60366599
1,4,SAN TELMO,1,57,-58.37154103,-34.62152049
1,4,TIGRE,0,190,-58.61687555,-34.38565106
1,4,TRES DE FEBRERO,0,85,-58.57913045,-34.59594723
1,4,VELEZ SARSFIELD,1,23,-58.49327669,-34.63136139
1,4,VERSALLES,1,1,-58.52241724,-34.63012294
1,4,VICENTE LOPEZ,0,209,-58.50461476,-34.52659375
1,4,VILLA CRESPO,1,167,-58.44272186,-34.59883365
1,4,VILLA DEL PARQUE,1,23,-58.49067708,-34.60424664
1,4,VILLA DEVOTO,1,54,-58.51428246,-34.60235465
